"Letter","Name","Place","Animal","Thing"
"A","Aarav, Aanya, Aditi, Akash, Ananya, Arjun, Anika, Aditya, Arnav, Asha","Agra, Ahmedabad, Assam, Australia, Austria, Aligarh, Albania, Andaman, Andhra Pradesh, Ajmer","Ant, Ape, Alligator, Armadillo, Anaconda, Aardvark, Auk, Avocet, Angelfish, Adder","Apple, Anchor, Alarm, Arrow, Apron, Axe, Ashtray, Album, Abacus, Abaya"
"B","Bharat, Beena, Bhavana, Babita, Balaji, Bina, Bhumika, Brinda, Binod, Bhanu","Bhopal, Bengaluru, Bhutan, Berlin, Belgium, Brisbane, Bihar, Bangkok, Bermuda, Barcelona","Bear, Buffalo, Bat, Beaver, Butterfly, Boar, Bobcat, Bison, Beetle, Barracuda","Ball, Book, Bottle, Brush, Blanket, Bench, Bag, Bucket, Button, Basket"
"C","Chetan, Chitra, Charu, Chandni, Chetna, Chirag, Chandan, Chhaya, Chinmay, Chhavi","Chennai, Canada, Coimbatore, Colombo, Calcutta, Cairo, Cyprus, Cuba, Chandigarh, Chennai Port","Cat, Cow, Cheetah, Camel, Crow, Crab, Chicken, Chameleon, Cougar, Cuckoo","Chair, Cup, Candle, Comb, Car, Camera, Clock, Cushion, Chain, Chalk"
"D","Deepak, Divya, Devika, Dinesh, Darshan, Diana, Dipti, Dhruv, Disha, Damini","Delhi, Dubai, Daman, Denmark, Detroit, Dhaka, Dublin, Doha, Durban, Dehradun","Dog, Deer, Dolphin, Duck, Donkey, Dragonfly, Dove, Dingo, Drongo, Dormouse","Desk, Drum, Diamond, Door, Doll, Dictionary, Dish, Drawer, Detergent, Dryer"
"E","Esha, Ekta, Eklavya, Elena, Emmanuel, Eshaan, Eshita, Ebrahim, Eva, Eshan","Egypt, England, Estonia, Ethiopia, Ecuador, Edinburgh, Eritrea, Europe, El Salvador, Eindhoven","Elephant, Eagle, Eel, Emu, Elk, Earthworm, Egret, Echidna, Eider, Earwig","Eraser, Envelope, Engine, Earphone, Elevator, Eye mask, Easel, Energy bar, Extension cord, Ebook"
"F","Farhan, Farida, Falguni, Fatima, Faizan, Fiona, Faraz, Fiza, Freddy, Flora","France, Fiji, Florence, Faisalabad, Finland, Frankfurt, Florida, Firozabad, Flanders, Freiburg","Fox, Frog, Flamingo, Fish, Falcon, Ferret, Fawn, Finch, Fallow deer, Firefly","Fan, Fork, Folder, Feather, Frame, Flashlight, Flask, Filter, File, Fuse"
"G","Gaurav, Gita, Geetika, Govind, Ganesh, Gracy, Gopal, Geeta, Gulshan, Gunjan","Goa, Gujarat, Gurgaon, Germany, Greece, Glasgow, Geneva, Guwahati, Gwalior, Gdansk","Goat, Gorilla, Giraffe, Goose, Goldfish, Grasshopper, Gecko, Gazelle, Gibbon, Grouse","Glass, Guitar, Gift, Gloves, Globe, Grinder, Gadget, Gate, Glue, Grater"
"H","Harsh, Hema, Harini, Harpreet, Hitesh, Hannah, Hina, Hemant, Harsha, Hiral","Hyderabad, Himachal, Hong Kong, Hanoi, Hungary, Helsinki, Haryana, Haridwar, Hapur, Houston","Horse, Hippo, Hawk, Hen, Hamster, Hound, Heron, Hyena, Hare, Herring","Hat, Hammer, House, Helmet, Handbag, Heater, Hose, Hook, Hanger, Hinge"
"I","Ishan, Ishita, Ira, Indira, Ibrahim, Ikra, Iqbal, Inaaya, Ishaan, Isha","India, Italy, Iceland, Indonesia, Islamabad, Istanbul, Iran, Iraq, Indore, Ivrea","Iguana, Impala, Insect, Ibex, Ibis, Irish setter, Indri, Isopod, Inkfish, Inchworm","Ink, Iron, Ice cream, Id card, Incense, Instrument, Ice box, Inverter, Item tag, Inkpad"
"J","Jay, Jyoti, Janvi, Jatin, Juhi, Jason, Jaya, Jhanvi, Jitesh, Jasmin","Jaipur, Jodhpur, Japan, Jordan, Jakarta, Jamaica, Jammu, Johannesburg, Jerusalem, Jaisalmer","Jaguar, Jackal, Jellyfish, Jaybird, Jerboa, Junco, Jacana, Jackrabbit, Japanese macaque, Jird","Jug, Jacket, Jar, Jewel, Journal, Jeep, Jute bag, Jumper, Joint, Joystick"
"K","Karan, Kavya, Kirti, Kunal, Komal, Keshav, Khushi, Kiran, Kriti, Krishna","Kerala, Kolkata, Kashmir, Kenya, Kuwait, Kathmandu, Kutch, Kasauli, Kigali, Kyoto","Kangaroo, Koala, Kite, Kingfisher, Kudu, Krill, Kestrel, Koi, Kiwi bird, Komodo dragon","Knife, Key, Kite, Kettle, Keyboard, Kindle, Knob, Kerchief, Kit, Keyboard cover"
"L","Laksh, Lata, Lavanya, Lokesh, Leena, Lalit, Lara, Laxmi, Likhit, Leela","London, Lucknow, Ladakh, Laos, Lisbon, Louisiana, Latvia, Lahore, Lonavala, Leeds","Lion, Leopard, Lizard, Lemur, Lobster, Llama, Lynx, Ladybug, Lamprey, Langur","Lamp, Ladder, Laptop, Lock, Lunchbox, Ladle, Lens, Leaflet, Locker, Log"
"M","Mohit, Meera, Madhuri, Manish, Mehul, Manya, Maya, Mohini, Mukesh, Mitali","Mumbai, Mysore, Maharashtra, Mexico, Madrid, Manila, Maldives, Milan, Madurai, Melbourne","Monkey, Mouse, Mongoose, Mole, Moose, Magpie, Macaw, Mantis, Marmot, Mallard","Mug, Mirror, Mobile, Map, Mattress, Marker, Mask, Magnet, Monitor, Mat"
"N","Nitin, Nisha, Neha, Naren, Nandini, Nikita, Naveen, Nidhi, Nilesh, Naina","Nagpur, Noida, Nepal, Norway, Nigeria, New York, Nagaland, Nainital, Nairobi, Nantes","Nilgai, Nightingale, Narwhal, Newt, Numbat, Nighthawk, Nuthatch, Needlefish, Nematode, Nubian ibex","Net, Needle, Notebook, Necklace, Napkin, Nail, Nozzle, Nut, Nameplate, Notebook cover"
"O","Omar, Ojas, Oviya, Omkar, Oindrila, Olivia, Om, Oorja, Oshin, Orin","Odisha, Oxford, Oman, Oslo, Oklahoma, Ontario, Okinawa, Orlando, Ouagadougou, Orissa","Owl, Octopus, Ostrich, Otter, Orca, Ocelot, Ox, Okapi, Orangutan, Oilfish","Orange, Oven, Oil, Object, Organ, Ornament, Outlet, Opener, Oval mirror, Oxygen tank"
"P","Puneet, Pooja, Priya, Pranav, Pankaj, Palak, Piyush, Parul, Prachi, Payal","Pune, Paris, Portugal, Punjab, Peru, Pretoria, Patna, Panaji, Prague, Phoenix","Panda, Parrot, Penguin, Peacock, Porcupine, Pigeon, Panther, Piranha, Pronghorn, Puffin","Pen, Plate, Pillow, Pencil, Pot, Purse, Pan, Poster, Packet, Paper"
"Q","Qadir, Queenie, Qamar, Qasim, Quentin, Qudsia, Qurat, Qiana, Qudrat, Qais","Qatar, Queensland, Quito, Quebec, Qom, Quetta, Qazvin, Quba, Qatif, Qena","Quail, Quokka, Queen bee, Quetzal, Queen snake, Quahog, Quoll, Quail dove, Quince monitor, Quagga","Quilt, Queue card, Quill, Quicklime, Quartz, Quiver, Quote card, Question mark, Quench bottle, Quad bike"
"R","Rohan, Riya, Rekha, Rohit, Rajat, Ruby, Raj, Ritu, Ramesh, Radhika","Rajasthan, Rome, Russia, Riga, Ranchi, Riyadh, Raipur, Rotterdam, Rawalpindi, Rewa","Rabbit, Rat, Raven, Robin, Rhino, Rooster, Reindeer, Red panda, Ray, Rhea","Ring, Robot, Rope, Radio, Roadmap, Ruler, Refrigerator, Ribbon, Rocket, Rug"
"S","Sameer, Saanvi, Sneha, Sakshi, Siddharth, Surbhi, Suraj, Shruti, Suresh, Sanjana","Surat, Shimla, Singapore, Spain, Sweden, Sydney, Sikkim, Srinagar, Seoul, Salzburg","Snake, Sheep, Swan, Shark, Sparrow, Squirrel, Seahorse, Sloth, Starfish, Stork","Spoon, Shirt, Star, Speaker, Schoolbag, Stone, Sock, Scale, Suitcase, Skate"
"T","Tarun, Tina, Trisha, Tushar, Tamanna, Tanvi, Tejas, Tulsi, Tarini, Tanya","Thane, Tokyo, Tamil Nadu, Thailand, Toronto, Turkey, Tripura, Tunisia, Texas, Tbilisi","Tiger, Turtle, Toucan, Toad, Turkey, Termite, Tapir, Tahr, Tern, Tortoise","Table, Toy, Torch, Tray, Ticket, Telescope, Tumbler, Teapot, Thermos, Towel"
"U","Uday, Uma, Utkarsh, Urvashi, Umesh, Usha, Ujjwal, Ulka, Upasana, Umang","USA, Uttar Pradesh, Uganda, Ukraine, Uruguay, Udaipur, Utah, Ujjain, Ulhasnagar, Ulan Bator","Unicorn, Urial, Uakari, Uromastyx, Upland sandpiper, Uinta chipmunk, Umbrellabird, Underwing moth, Uganda kob, Urchin","Umbrella, Uniform, Urn, USB, Utensil, Underlay, Upholstery, USB cable, Utility knife, Uniball pen"
"V","Varun, Vaishnavi, Vidya, Vivek, Vanya, Vikas, Vijay, Vriti, Vinay, Vandana","Vadodara, Vienna, Vietnam, Venice, Varanasi, Vancouver, Virginia, Vermont, Valencia, Vilnius","Vulture, Viper, Vixen, Vicuna, Vampire bat, Velvet worm, Vine snake, Virginia opossum, Vaquita, Vermilion flycatcher","Vase, Veil, Violin, Vacuum, Vehicle, Vegetables, Vest, Valve, Video game, Vault"
"W","Wasim, Wafa, Wendy, Waqar, William, Wini, Waseem, Winita, Walter, Warren","Warsaw, Washington, Wales, Winnipeg, Wellington, Wuhan, Wayanad, Wisconsin, Whitefield, Wroclaw","Wolf, Whale, Woodpecker, Wombat, Wildcat, Weaver bird, Walrus, Wren, Water buffalo, Wallaby","Watch, Window, Wagon, Wallet, Wire, Wheel, Whiteboard, Whistle, Webcam, Wardrobe"
"X","Xavi, Xena, Xitij, Xander, Ximena, Xavier, Xenia, Xylia, Xiomara, Xandra","Xiamen, Xining, Xinjiang, Xalapa, Xochimilco, Xanten, Xochitlan, Xingu, Xylofag, Xcaret","Xenops, X-ray fish, Xerus, Xantus hummingbird, Xoloitzcuintli, Xenarthra, Xantusia, Xiphias, Xerus squirrel, Xylophagous beetle","Xylophone, Xerox, X-ray, Xenon lamp, Xylograph, X-axis, X-acto knife, Xylene bottle, Xeriscape marker, X-band"
"Y","Yash, Yuvika, Yamini, Yashika, Yusuf, Yara, Yogesh, Yana, Yuvan, Yulia","Yemen, York, Yercaud, Yavatmal, Yokohama, Yogyakarta, Yukon, Yerevan, Yadgir, Yunnan","Yak, Yellowhammer, Yeti crab, Yellowfin tuna, Yellowjacket, Yellowtail, Yabby, Yaffle, Young pigeon, Yam mammal","Yarn, Yacht, Yo-yo, Yellow pencil, Yardstick, Yoke, Yogurt cup, Yearbook, Yellow light, Yashoda doll"
"Z","Zaid, Zara, Zoya, Zeeshan, Zainab, Zubin, Zoya, Zarnish, Zulekha, Zoya","Zurich, Zimbabwe, Zanzibar, Zambia, Zagreb, Zhengzhou, Zaheerabad, Zunheboto, Zamboanga, Zermatt","Zebra, Zebu, Zooplankton, Zebra finch, Zorilla, Zug beetle, Zander, Zokor, Zebra shark, Zander fish","Zebra crossing, Zip, Zipper, Zoom lens, Zinc, Zone, Zari, Zinnia pot, Zester, Zodiac chart"